Run,AE1,AE2,AE3,AE4,OIL,WATER,CO,CO2,VEL
8.7000000000000000e+01,2.0875898722866714e+04,6.4931994482236048e+04,8.9175481542519570e+04,1.0593853143396963e+05,4.5111000000000001e-01,1.0599000000000001e+00,1.6908999999999999e-01,1.6911000000000001e-01,9.0454545454545443e-01
8.8000000000000000e+01,2.2243245759713293e+04,7.9945806101392140e+04,8.0550923204922292e+04,9.7239555212433348e+04,4.3017000000000000e-01,1.0699000000000001e+00,1.7743999999999999e-01,1.7835999999999999e-01,7.6515151515151514e-01
8.9000000000000000e+01,2.4530317434576715e+04,6.8048589263148562e+04,9.4433693206310796e+04,9.5995004882493129e+04,4.7971999999999998e-01,1.0375000000000001e+00,1.5434000000000000e-01,1.5436000000000000e-01,7.1060606060606057e-01
9.0000000000000000e+01,2.0038818580483108e+04,5.7030785912500622e+04,1.0496781381664763e+05,7.8160358388831548e+04,4.8907000000000000e-01,1.0235000000000001e+00,1.5298000000000000e-01,1.5298000000000000e-01,9.0757575757575748e-01
9.1000000000000000e+01,1.8699927548880856e+04,6.8640154444618893e+04,1.0086532751581335e+05,9.6090310963238182e+04,4.2447000000000001e-01,1.0830000000000000e+00,1.8318999999999999e-01,1.8320000000000000e-01,9.0757575757575748e-01
9.2000000000000000e+01,2.0151986058055580e+04,6.3486963434512385e+04,8.6125407804114409e+04,1.0733896623494699e+05,4.5068999999999998e-01,1.0532999999999999e+00,1.6914000000000001e-01,1.6916999999999999e-01,9.0757575757575748e-01
9.3000000000000000e+01,1.9838925560484386e+04,7.6528011196670428e+04,9.2566758790453081e+04,8.5545799570037940e+04,4.0956999999999999e-01,1.0978000000000001e+00,1.9077000000000000e-01,1.9092000000000001e-01,9.0909090909090906e-01
9.4000000000000000e+01,2.0156497996173988e+04,6.5077180211847546e+04,8.6870772136114974e+04,7.6342018078697845e+04,4.4551000000000002e-01,1.0629999999999999e+00,1.7197999999999999e-01,1.7202000000000001e-01,9.0909090909090895e-01
9.5000000000000000e+01,2.3823468859194541e+04,5.9661829817371712e+04,8.3461669352929384e+04,9.2987509778916254e+04,4.8891000000000001e-01,1.0222000000000000e+00,1.5078000000000000e-01,1.5079999999999999e-01,9.0606060606060623e-01
9.6000000000000000e+01,2.0716616326745279e+04,6.1383809802623044e+04,9.1598180953762814e+04,8.1550112753161055e+04,4.6656999999999998e-01,1.0386000000000000e+00,1.6172000000000000e-01,1.6172000000000000e-01,8.9999999999999991e-01
9.7000000000000000e+01,2.5984261653537280e+04,7.9935379112548268e+04,9.5558707729365909e+04,8.4379572148139385e+04,1.8110999999999999e-01,1.2517000000000000e+00,2.3397000000000001e-01,2.9897000000000001e-01,3.0151515151515151e-01
9.8000000000000000e+01,2.3773437866161759e+04,5.6488209608532314e+04,1.0172078527274066e+05,1.0366753408134857e+05,4.9870999999999999e-01,1.0163000000000000e+00,1.4709000000000000e-01,1.4710000000000001e-01,9.0454545454545443e-01
9.9000000000000000e+01,2.5923397146209907e+04,6.0587510374686448e+04,9.0802468773251574e+04,7.2810453338648338e+04,5.0383000000000000e-01,1.0222000000000000e+00,1.4399000000000001e-01,1.4399999999999999e-01,5.8939393939393936e-01
1.0000000000000000e+02,2.2312385745970041e+04,6.1980866166792497e+04,7.5651966050911244e+04,7.8435582723085259e+04,4.7186000000000000e-01,1.0364000000000000e+00,1.5870999999999999e-01,1.5881000000000001e-01,9.0757575757575770e-01
1.0100000000000000e+02,2.2290548339720779e+04,5.6125346282191291e+04,9.0948328406485933e+04,8.8953273228900027e+04,4.9595000000000000e-01,1.0168999999999999e+00,1.4874999999999999e-01,1.4874999999999999e-01,9.0606060606060623e-01
1.0200000000000000e+02,2.4802733682374794e+04,7.2356994378078205e+04,9.2348576539514324e+04,7.3209738098391463e+04,4.7763000000000000e-01,1.0341000000000000e+00,1.5468999999999999e-01,1.5473000000000001e-01,6.6515151515151516e-01
1.0300000000000000e+02,1.9033016111886071e+04,6.2165272902837300e+04,8.8580249824294428e+04,9.5560045479254390e+04,4.4690999999999997e-01,1.0558000000000001e+00,1.7040000000000000e-01,1.7043000000000000e-01,9.0454545454545465e-01
